city,city_stem,status,expected_image_count,finished_image_count,missing_image_count,extra_finished_count,shard_count,missing_examples,extra_examples,error
Wellington,wellington,complete,59206,59206,0,245545,4762,,---3ob-2MZGsTmY6cC3SeQ_0.jpg;---3ob-2MZGsTmY6cC3SeQ_180.jpg;---3ob-2MZGsTmY6cC3SeQ_270.jpg;---3ob-2MZGsTmY6cC3SeQ_90.jpg;--6fBzyd1DRp7oQosIqzOQ_0.jpg,
Auckland,auckland,incomplete,359346,318155,41191,409333,11367,--42OmJB2iLmuSyyBFmazg_0.jpg;--42OmJB2iLmuSyyBFmazg_180.jpg;--42OmJB2iLmuSyyBFmazg_270.jpg;--42OmJB2iLmuSyyBFmazg_90.jpg;--I_XbNpt9IKb-yyQIIvfA_0.jpg,--2Jw5x345DNLZm2MfcQmg_0.jpg;--2Jw5x345DNLZm2MfcQmg_90.jpg;--4oWnXI395fwWP_sFJRrA_0.jpg;--4oWnXI395fwWP_sFJRrA_180.jpg;--4oWnXI395fwWP_sFJRrA_270.jpg,
Gombe,gombe,empty_expected,0,0,0,0,0,,,
Lagos,lagos,incomplete,425918,0,425918,0,0,---3XFLt5bcyqnXjv1HYOA_0.jpg;---3XFLt5bcyqnXjv1HYOA_180.jpg;---3XFLt5bcyqnXjv1HYOA_270.jpg;---3XFLt5bcyqnXjv1HYOA_90.jpg;--0Gtec_io6IQmd0N7FMUg_0.jpg,,
Lima,lima,complete,1895,1895,0,458174,7189,,--10eKNeGyuLg0y-3YIDog_0.jpg;--10eKNeGyuLg0y-3YIDog_180.jpg;--10eKNeGyuLg0y-3YIDog_270.jpg;--10eKNeGyuLg0y-3YIDog_90.jpg;--4HlxlvmxMc-jXdHbQABw_0.jpg,
Manila,manila,complete,21188,21188,0,10502,496,,--0F6seX0Y38aKz43AbdbA_270.jpg;--0F6seX0Y38aKz43AbdbA_90.jpg;--S7B3sq9A988yXg7RfulA_270.jpg;--gP2kKaVC80xEBf3GCtsA_0.jpg;--gP2kKaVC80xEBf3GCtsA_180.jpg,
Bacolod,bacolod,complete,32228,32228,0,53449,1339,,--4m_ZX24mL7QhxU56eFpA_0.jpg;--4m_ZX24mL7QhxU56eFpA_180.jpg;--4m_ZX24mL7QhxU56eFpA_270.jpg;--4m_ZX24mL7QhxU56eFpA_90.jpg;-03FVuMAKFbBaZzU0utVWQ_0.jpg,
Cebu City,cebucity,complete,27361,27361,0,65467,1451,,--f0mREzdaGPR8RvEJ5WfA_0.jpg;--f0mREzdaGPR8RvEJ5WfA_180.jpg;--f0mREzdaGPR8RvEJ5WfA_270.jpg;--f0mREzdaGPR8RvEJ5WfA_90.jpg;--h9Z5z67gRlT6Z7FMMAMA_0.jpg,
Metro Manila,metromanila,complete,272492,272492,0,217259,7653,,--1RzazsGOs5kKbyD_eItg_0.jpg;--1RzazsGOs5kKbyD_eItg_180.jpg;--1RzazsGOs5kKbyD_eItg_270.jpg;--1RzazsGOs5kKbyD_eItg_90.jpg;--42XHix-e2pg7q_0fXyYA_0.jpg,
Warsaw,warsaw,complete,265003,265003,0,130420,6179,,--7ixdQFf8aYrt-sNPbJKQ_0.jpg;--7ixdQFf8aYrt-sNPbJKQ_180.jpg;--7ixdQFf8aYrt-sNPbJKQ_270.jpg;--7ixdQFf8aYrt-sNPbJKQ_90.jpg;--H1Llc1nTfrpgubRpTexg_0.jpg,
Seoul,seoul,incomplete,234830,0,234830,0,0,--2MAOmamxPSaGKIFxA82g_0.jpg;--2MAOmamxPSaGKIFxA82g_180.jpg;--2MAOmamxPSaGKIFxA82g_270.jpg;--2MAOmamxPSaGKIFxA82g_90.jpg;--96ZEzWqTxuHZtN-hNWQg_0.jpg,,
Berezniki,berezniki,complete,23883,23883,0,0,374,,,
